No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
1606,89,7,117707,0.515789474,12.5,3.1,8.6,4.8,16.9,1
1607,89,8,117708,0.577809388,9.3,3,8.9,5.161290323,16,1
1608,89,9,117709,0.646657183,14.9,2.95,8.8,4.899328859,16,1
1609,89,10,117710,0.722332859,11.7,3.1,9.1,5.299145299,15.3,0
1610,89,11,117711,0.79715505,14.6,3,8.8,5,14.9,0
1611,89,12,117712,0.869416785,10.8,3,8.6,4.814814815,15.2,0
1612,89,13,117713,0.93428165,12,2.95,8.6,4.75,14.7,0
1613,89,14,117714,1,11.1,2.8,8.2,4.324324324,13.5,0
1614,90,1,117801,0.038470346,16.8,3.85,11.3,9.464285714,18.6,1
1615,90,2,117802,0.111976185,15.3,4,11.5,9.150326797,17.5,1
1616,90,3,117803,0.191435768,19.4,3.85,11,8.608247423,18,1
1617,90,4,117804,0.269750401,14.8,3.75,10.6,8.040540541,18.3,1
1618,90,5,117805,0.336844516,14.5,3.5,9.9,6.896551724,18.4,1
1619,90,6,117806,0.397526906,12,3.45,9.4,5.916666667,18.2,1
1620,90,7,117807,0.455461415,13.3,3.4,9.3,6.766917293,18,1
1621,90,8,117808,0.506526219,9,3.45,10.9,7.666666667,17.9,1
1622,90,9,117809,0.56652164,17.2,3.9,10.5,7.965116279,16.9,1
1623,90,10,117810,0.648958095,18.8,3.5,10.2,7.553191489,15.5,0
1624,90,11,117811,0.717655141,11.2,3.5,10.2,6.964285714,14,0
1625,90,12,117812,0.770780856,12,3.25,9.8,6.5,13.8,0
1626,90,13,117813,0.818410808,8.8,3.4,9.8,6.590909091,14.4,0
1627,90,14,117814,0.874055416,15.5,3.45,9.4,6.322580645,13,0
1628,90,15,117815,0.937027708,12,3.25,9,5.25,12.5,0
1629,90,16,117816,1,15.5,3.1,8.1,4.709677419,12,0
1630,91,1,117901,0.040129712,19.8,4.05,11.7,9.949494949,17.8,1
1631,91,2,117902,0.114308877,16.8,3.9,11.5,8.154761905,17.4,1
1632,91,3,117903,0.186461289,18.8,3.65,11.3,9.255319149,17,1
1633,91,4,117904,0.253546818,14.3,3.75,11.4,8.671328671,16.9,1
1634,91,5,117905,0.317794893,17.4,3.8,10.5,8.218390805,16.7,1
1635,91,6,117906,0.375152006,10.9,3.75,10.9,8.440366972,16.6,1
1636,91,7,117907,0.427239562,14.8,3.75,11,8.716216216,16.4,1
1637,91,8,117908,0.484394001,13.4,3.75,10.7,8.358208955,16.2,1
1638,91,9,117909,0.547831374,17.9,3.85,10.9,8.882681564,16.2,1
1639,91,10,117910,0.609039319,12.3,3.7,11,8.780487805,16,1
1640,91,11,117911,0.669233887,17.4,3.75,10.9,8.735632184,15.2,0
1641,91,12,117912,0.727199027,11.2,3.6,10.8,8.214285714,15,0
1642,91,13,117913,0.782124037,15.9,3.65,10.6,8.490566038,14,0
1643,91,14,117914,0.838265099,11.8,3.8,11.2,8.898305085,13.5,0
1644,91,15,117915,0.894000811,15.7,3.8,11.5,9.808917197,12.4,0
1645,91,16,117916,1,11,3.9,11.9,9.454545455,11.4,0
1646,92,1,118001,0.031390135,14,2.7,8.2,5.642857143,15.8,0
1647,92,2,118002,0.085201794,10,2.75,9.7,5.9,17.1,1
1648,92,3,118003,0.143497758,16,2.75,9.2,6.0625,18.3,1
1649,92,4,118004,0.210986547,14.1,2.75,8.5,6.09929078,18.4,1
1650,92,5,118005,0.282735426,17.9,2.65,8.5,5.865921788,18.3,1
1651,92,6,118006,0.353587444,13.7,2.45,8.1,5.474452555,10.4,0
1652,92,7,118007,0.419058296,15.5,2.5,8,5.225806452,18.8,1
1653,92,8,118008,0.479596413,11.5,2.5,7.8,4.695652174,18.4,1
1654,92,9,118009,0.533408072,12.5,2.55,8.9,6.08,19.2,1
1655,92,10,118010,0.585650224,10.8,2.7,8.5,6.111111111,18.2,1
1656,92,11,118011,0.64058296,13.7,2.8,9,6.423357664,18,1
1657,92,12,118012,0.693721973,10,2.75,9,6.7,17,1
1658,92,13,118013,0.745515695,13.1,2.85,9,7.022900763,16.2,1
1659,92,14,118014,0.794843049,8.9,2.8,9.2,6.629213483,15,0
1660,92,15,118015,0.843049327,12.6,2.85,9.4,6.904761905,14.4,0
1661,92,16,118016,0.894843049,10.5,2.95,9.3,6.952380952,13.1,0
1662,92,17,118017,0.947533632,13,2.75,9.5,7.076923077,11,0
1663,92,18,118018,1,10.4,2.8,9.1,6.153846154,9.6,0
1664,93,1,118101,0.029090909,10.4,3.4,9.4,6.442307692,15.2,0
1665,93,2,118102,0.081118881,8.2,3.3,9.4,9.756097561,14.7,0
1666,93,3,118103,0.138741259,12.4,3.35,10,7.096774194,18,1
1667,93,4,118104,0.20027972,9.6,3.35,9.7,6.25,17.6,1
1668,93,5,118105,0.268251748,14.7,3.25,9.3,5.986394558,18,1
1669,93,6,118106,0.327832168,6.6,3.15,9.3,5.757575758,19,1
1670,93,7,118107,0.37986014,12,3.15,9.3,6,18.7,1
1671,93,8,118108,0.439440559,9.3,3,9.1,5.268817204,17.6,1
1672,93,9,118109,0.493986014,10.2,3.05,8.8,5.196078431,16,1
1673,93,10,118110,0.548531469,9.3,2.9,8.4,4.731182796,16,1
1674,93,11,118111,0.595524476,7.5,3,8.6,4.933333333,15.3,0
1675,93,12,118112,0.652307692,12.8,3.05,8.7,5.234375,16.5,1
1676,93,13,118113,0.718881119,11,2.95,8.9,5.272727273,16.4,1
1677,93,14,118114,0.774825175,9,3,8.7,4.666666667,16.2,1
1678,93,15,118115,0.822377622,8,2.75,8.3,4.375,16.1,1
1679,93,16,118116,0.876363636,11.3,2.8,8.4,4.601769912,14.5,0
1680,93,17,118117,0.94013986,11.5,2.75,8.7,4.260869565,14,0
1681,93,18,118118,1,9.9,2.75,7.3,3.03030303,14,0
1682,94,1,118201,0.02152231,8.2,2.45,8.9,6.829268293,17.2,1
1683,94,2,118202,0.082939633,15.2,2.5,9,6.513157895,18,1
1684,94,3,118203,0.148818898,9.9,2.65,9,6.363636364,17.6,1
1685,94,4,118204,0.214698163,15.2,2.6,9,6.578947368,18.3,1
1686,94,5,118205,0.284251969,11.3,2.55,9,6.460176991,19.1,1
1687,94,6,118206,0.352230971,14.6,2.65,8.8,6.438356164,19,1
1688,94,7,118207,0.413648294,8.8,2.5,9,6.477272727,18,1
1689,94,8,118208,0.466666667,11.4,2.6,9.2,6.842105263,17.2,1
1690,94,9,118209,0.520209974,9,2.55,8.5,6.222222222,16.9,1
1691,94,10,118210,0.571128609,10.4,2.65,9.5,7.692307692,16.5,1
1692,94,11,118211,0.616535433,6.9,2.95,10,8.115942029,16,1
1693,94,12,118212,0.666929134,12.3,2.75,9.8,8.048780488,15.6,0
1694,94,13,118213,0.723622047,9.3,2.7,9.9,7.634408602,15.8,0
1695,94,14,118214,0.782152231,13,2.7,9.7,7.692307692,15,0
1696,94,15,118215,0.840944882,9.4,2.8,9.9,7.659574468,14.5,0
1697,94,16,118216,0.894225722,10.9,2.7,10,7.706422018,13.9,0
1698,94,17,118217,0.945144357,8.5,2.65,9.7,7.176470588,13,0
1699,94,18,118218,1,12.4,2.6,9.5,6.451612903,12.3,0
1700,95,1,118301,0.053231939,19.6,3.8,11.8,9.846938776,18.4,1
1701,95,2,118302,0.146659424,14.8,3.55,11.1,8.445945946,18.2,1
1702,95,3,118303,0.229766431,15.8,3.5,10.3,7.594936709,18.6,1
1703,95,4,118304,0.303367735,11.3,3.45,9.8,6.814159292,18.9,1
1704,95,5,118305,0.368006518,12.5,3.45,11.3,8.4,19,1
1705,95,6,118306,0.435632808,12.4,3.45,10.6,7.983870968,17.9,1
1706,95,7,118307,0.511135253,15.4,3.5,10.7,8.116883117,17.6,1
