No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
257,98,22,118622,1,11.9,2.5,8.5,4.789915966,10,0
258,99,1,118701,0.044352265,13.9,2.9,9.7,7.410071942,17,1
259,99,2,118702,0.124122527,11.1,2.9,9.6,7.297297297,17.1,1
260,99,3,118703,0.20421187,14,2.9,10,7.928571429,16.8,1
261,99,4,118704,0.290044671,12.9,2.85,9.4,6.899224806,16.5,1
262,99,5,118705,0.378430121,14.8,3,9.5,7.567567568,15.8,0
263,99,6,118706,0.463943842,12,2.9,9.9,7.916666667,15.4,0
264,99,7,118707,0.559349075,17.9,3.1,9.6,7.709497207,15.1,0
265,99,8,118708,0.66145501,14.1,3.05,9.5,7.730496454,14.3,0
266,99,9,118709,0.757179324,15.9,2.95,10,8.050314465,14.2,0
267,99,10,118710,0.84141672,10.5,3.15,10,8.095238095,13.2,0
268,99,11,118711,0.919910657,14.1,2.95,10,7.943262411,10.2,0
269,99,12,118712,1,11,3,9.5,7.090909091,7.5,0
270,100,1,118801,0.046333333,13.9,3.5,10.5,7.338129496,13,0
271,100,2,118802,0.125333333,9.8,3.5,10.3,7.142857143,11,0
