No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
356,104,15,119215,1,10,2.75,8.9,6.3,12.9,0
357,105,1,119301,0.030123131,13.7,3.6,10.4,7.810218978,17.8,1
358,105,2,119302,0.078276165,8.2,3.6,10.4,7.682926829,18.1,1
359,105,3,119303,0.127308707,14.1,3.55,10.5,7.80141844,18.5,1
360,105,4,119304,0.182937555,11.2,3.55,10.3,7.142857143,18,1
361,105,5,119305,0.238126649,13.9,3.45,10.4,7.338129496,18.2,1
362,105,6,119306,0.285620053,7.7,3.5,10.4,7.402597403,17.9,1
363,105,7,119307,0.329815303,12.4,3.3,10.5,7.258064516,18.6,1
364,105,8,119308,0.375769569,8.5,3.3,10,6.705882353,18.4,1
365,105,9,119309,0.422163588,12.6,3.2,9.7,6.349206349,18.8,1
366,105,10,119310,0.469656992,9,3.1,9.4,6,18.7,1
367,105,11,119311,0.512313105,10.4,3.1,9.2,5.769230769,18.9,1
368,105,12,119312,0.550131926,6.8,3.15,8.8,5.882352941,18.5,1
369,105,13,119313,0.586851363,9.9,3.4,9.7,6.666666667,19.2,1
370,105,14,119314,0.623790677,6.9,3.35,10.2,6.956521739,18.9,1
371,105,15,119315,0.664028144,11.4,3.35,9.8,6.666666667,18,1
372,105,16,119316,0.715259455,11.9,3.25,9.6,6.554621849,17.9,1
373,105,17,119317,0.762532982,9.6,3.2,9.7,6.354166667,16.8,1
374,105,18,119318,0.808707124,11.4,3.35,9.9,6.403508772,16.4,1
375,105,19,119319,0.852462621,8.5,3.3,9.6,6.352941176,15.5,0
376,105,20,119320,0.899516271,12.9,3.15,9.7,6.666666667,14.2,0
377,105,21,119321,0.94876869,9.5,3.25,9.8,6.315789474,13.2,0
378,105,22,119322,1,13.8,3.15,9.3,5.869565217,12.9,0
